site,city,reason,evidence,decided
St. Mary Queen of the Rosary,Strykersville,closed,"Omitted from the April 2026 Family of Parishes masterlist and from the current Fields of Grace bulletin (which gives Mass times for the other five sites); local reporting has the site slated to be closed and sold; no OSM church node at 3854 Main Street",2026-08-05
Our Lady of Loreto,Falconer,closed,"Catholic Neighbors in Faith parishes page lists it under recently closed worship sites, 2025-05-19",2026-08-05
Our Lady of the Snows,Panama,closed,"Absent from the Catholic Neighbors in Faith parishes page and Mass schedule; named in the Sept 2024 diocesan announcement of south-county closures",2026-08-05
St. Joseph,Fredonia,closed,"The Lord's Vineyard churches page gives the closure date 2024-12-24",2026-08-05
St. Rose of Lima,Forestville,closed,"The Lord's Vineyard churches page records the last Mass as 2025-01-05",2026-08-05
St. Hedwig,Dunkirk,closed,"The Lord's Vineyard churches page gives the closure date 2025-06-08; present in the May 2025 bulletin masthead and gone by March 2026",2026-08-05
St. Gianna Molla Pregnancy Outreach Center | Buffalo,Buffalo,not-a-parish,Social-service office sharing the diocesan parish finder; publishes no bulletin,2026-06-23
St. Gianna Molla Pregnancy Outreach Center | Lackawanna,Lackawanna,not-a-parish,Social-service office sharing the diocesan parish finder; publishes no bulletin,2026-06-23
St. Gianna Molla Pregnancy Outreach Center | Cheektowaga,Cheektowaga,not-a-parish,Social-service office sharing the diocesan parish finder; publishes no bulletin,2026-06-23
St. Gianna Molla Pregnancy Outreach Center | Niagara Falls,Niagara Falls,not-a-parish,Social-service office sharing the diocesan parish finder; publishes no bulletin,2026-06-23
St. Gianna Molla Pregnancy Outreach Center | Chautauqua,Fredonia,not-a-parish,Social-service office sharing the diocesan parish finder; publishes no bulletin,2026-06-23
St. Gianna Molla Pregnancy Center | Wyoming,Perry,not-a-parish,Social-service office sharing the diocesan parish finder; publishes no bulletin,2026-06-23
St. Gianna Molla Center Outreach | Cattaraugus,Olean,not-a-parish,Social-service office sharing the diocesan parish finder; publishes no bulletin,2026-06-23
St. Patrick,Brocton,closed,"Chautauqua Family bulletin announced and then reported the closing Mass at 6 pm on 2025-03-17; the [B] Brocton code is gone from the Mass legend from the 2025-03-23 issue onward; dropped from the April 2026 Family of Parishes masterlist though the diocesan feed still lists it",2026-08-06
St. Isaac Jogues,Sherman,closed,"Chautauqua Family bulletin carried the closing Mass on 2025-02-23 (close the doors of their church this weekend); the [S] Sherman code is gone from the Mass legend from the 2025-03-02 issue onward; absent from the diocesan feed but still listed under Christ Our Hope Parish by GCatholic",2026-08-06
St. Mary,Batavia,closed,"Last Mass 2024-08-14 (Daily News, 18 Ellicott Street site, closure brought forward under Road to Renewal); absent from the family site the12apostles.org, which lists the other three Resurrection sites; the diocesan feed still lists it. The diocese said occasional Masses may still be held, but it is no longer a scheduled worship site",2026-08-06
Holy Spirit,North Collins,closed,"Catholic Family of the Holy Rosary bulletin ran the notice for weeks and then reported it: closing Mass 2024-12-29 at 10 am with a solemn transfer of the Blessed Sacrament to Immaculate Conception; gone from the masthead in the 2025-01-05 issue; the diocesan feed still lists it",2026-08-06
St. Mary,Cattaraugus,closed,"Catholic Family of the Holy Rosary bulletin gives the closing Mass as 2025-01-12 at 10:15 am; the masthead lists three parishes from 2025-02 onward; absent from the diocesan feed but still listed by GCatholic",2026-08-06
St. Anthony,Farnham,closed,"Lakeshore Catholic Faith Community bulletin carried Masses at St. Anthony through the 2025-05-25 issue and none from 2025-06-01 onward; from 2025-11 the same bulletin lists it among the parishes whose sacramental records the family office merely holds; merged into Most Precious Blood under Road to Renewal; stanthonysfarnham.org no longer resolves; absent from the diocesan feed and the April 2026 masterlist but still listed by GCatholic at 421 Commercial St",2026-08-06
St. Jude,Sardinia,closed,"Cattaraugus Creek Catholic Community lists it among its closed churches; the parish's own news post ""Final Mass at St. Jude in Sardinia (2024)"" gives the last Mass as 2024-10-19 at 5:00 pm; no Mass at Sardinia in the current family bulletin masthead; the diocesan feed still lists it",2026-08-06
St. Thomas Aquinas,Buffalo,closed,"Catholic Family of South Buffalo bulletin announced then reported it: 2024-10-13 ""the closing Mass at St. Thomas Aquinas: Saturday, November 9th at 11:30 AM"", 2024-11-17 ""Now that St. Thomas Aquinas has been closed""; named in the 2024-10-13 masthead and gone from the 2024-11-10 one; merged into St. Teresa; 450 Abbott Rd; absent from the diocesan feed and the April 2026 masterlist but still listed by GCatholic",2026-08-06
St. John the Baptist,West Valley,closed,"Cattaraugus Creek Catholic Community lists it among its closed churches; merged into St. Aloysius (Springville) under Road to Renewal; no Mass at West Valley in the current family bulletin masthead, which still names a St. John the Baptist cemetery; absent from the diocesan feed and the April 2026 masterlist but still listed by GCatholic at 5381 Depot St",2026-08-06
SS. Brendan (1949) & Jude (1959),Almond,closed,"The Almond building is St. Brendan's Oratory, 11 South Main St. The diocese's final September 2024 decision merged SS. Brendan & Jude into Immaculate Conception (Wellsville), keeping the Alfred site and putting the Almond site up for sale (Evening Tribune and Wellsville Sun, 2024-09-10: close and sell St. Brendan site). The parish's own Mass schedule at icc-ics.com lists Wellsville, Cuba, Alfred and Belmont and no Almond. The surviving Alfred building is now modelled as st-jude-alfred; the diocesan feed still lists the Almond one",2026-08-06
St. Joseph,Perry,closed,"A worship site of St. Isidore parish, which merged into St. Michael (Warsaw). The diocese's September 2024 vicariate summary lists both St. Isidore, Perry site and St. Isidore, Silver Springs site under parishes/sites merged and closed. The current Fields of Grace bulletin (2026-08-02) gives Mass times for five worship sites, none of them in Perry, while its masthead names Rev. Richard Blazejewski as Pastor Emeritus (St. Isidore Parish) - the fold-in recorded by the family that absorbed it. Absent from the April 2026 masterlist; the diocesan feed still lists it",2026-08-06
St. Mary,Silver Spring,closed,"A worship site of St. Isidore parish, which merged into St. Michael (Warsaw); the June 2024 recommendation was to close and sell the entire St. Mary site in Silver Springs and the September 2024 vicariate summary lists St. Isidore, Silver Springs site under parishes/sites merged and closed. Absent from the April 2026 masterlist and from the current Fields of Grace bulletin Mass schedule; the diocesan feed still lists it, spelling the village Silver Spring",2026-08-06
